IndelRate,Alignment,Slope,SE(Slope),P(Slope>0),Intercept,r2
0.1,aligned_clustalw,0.4271,3.2917e-02,1.2897e-05,0.0858,0.9656
0.1,aligned_mafft,0.2894,2.8666e-02,5.4851e-05,0.0860,0.9444
0.1,aligned_msaprobs,0.3270,4.0689e-02,1.9831e-04,0.0870,0.9150
0.1,aligned_muscle,0.2825,2.8167e-02,5.6951e-05,0.0865,0.9437
0.1,aligned_probalign,0.3726,3.5485e-02,4.3805e-05,0.0861,0.9484
0.1,aligned_probcons,0.3268,3.5887e-02,9.8552e-05,0.0857,0.9325
0.1,aligned_tcoffee,0.3725,4.0204e-02,8.9348e-05,0.0852,0.9347
0.1,correctaligned,0.2727,3.1318e-02,1.2669e-04,0.0858,0.9267
0.1,integratedaln,0.2656,3.1090e-02,1.4109e-04,0.0863,0.9240
0.2,aligned_clustalw,0.7636,4.9104e-02,4.4765e-06,0.1666,0.9758
0.2,aligned_mafft,0.5093,8.4203e-02,9.2477e-04,0.1659,0.8591
0.2,aligned_msaprobs,0.6071,5.4593e-02,3.1502e-05,0.1654,0.9537
0.2,aligned_muscle,0.5685,5.2319e-02,3.6019e-05,0.1646,0.9516
0.2,aligned_probalign,0.7061,6.7789e-02,4.5895e-05,0.1640,0.9476
0.2,aligned_probcons,0.6021,6.1855e-02,6.7501e-05,0.1639,0.9405
0.2,aligned_tcoffee,0.6739,4.8927e-02,9.1071e-06,0.1644,0.9693
0.2,correctaligned,0.4964,6.1986e-02,2.0225e-04,0.1642,0.9145
0.2,integratedaln,0.4562,6.5113e-02,4.2146e-04,0.1645,0.8911
0.3,aligned_clustalw,0.8162,8.9242e-02,9.6142e-05,0.2429,0.9331
0.3,aligned_mafft,0.4300,6.7275e-02,6.9046e-04,0.2401,0.8719
0.3,aligned_msaprobs,0.5168,6.8460e-02,2.8040e-04,0.2423,0.9047
0.3,aligned_muscle,0.6200,5.8843e-02,4.2961e-05,0.2381,0.9487
0.3,aligned_probalign,0.6067,8.1194e-02,2.9663e-04,0.2433,0.9030
0.3,aligned_probcons,0.4725,7.2663e-02,6.2985e-04,0.2427,0.8757
0.3,aligned_tcoffee,0.5790,7.0732e-02,1.7900e-04,0.2428,0.9178
0.3,correctaligned,0.3969,5.6714e-02,4.2402e-04,0.2388,0.8909
0.3,integratedaln,0.2893,5.5219e-02,1.9405e-03,0.2408,0.8206
0.4,aligned_clustalw,0.8460,1.1325e-01,2.9710e-04,0.3028,0.9029
0.4,aligned_mafft,0.5282,1.1729e-01,4.0893e-03,0.2941,0.7717
0.4,aligned_msaprobs,0.4907,8.8356e-02,1.4410e-03,0.2990,0.8372
0.4,aligned_muscle,0.5299,4.0271e-02,1.1895e-05,0.2996,0.9665
0.4,aligned_probalign,0.5850,9.0122e-02,6.3582e-04,0.3000,0.8754
0.4,aligned_probcons,0.5427,7.5639e-02,3.7018e-04,0.2973,0.8956
